timestamp,device_id,temperature,pressure,rotation_speed,flow_rate,ph_value,batch_id
2024-01-01 08:00:00,DEV001,85.2,2.3,1200,45.6,7.2,BATCH001
2024-01-01 08:05:00,DEV001,86.1,2.4,1210,46.2,7.1,BATCH001
2024-01-01 08:10:00,DEV001,,2.5,1220,47.1,7.3,BATCH001
2024-01-01 08:15:00,DEV001,87.8,2.6,1230,48.0,7.2,BATCH001
2024-01-01 08:20:00,DEV001,88.5,2.7,1240,48.8,,BATCH001
2024-01-01 08:25:00,DEV001,89.2,2.8,1250,49.5,7.4,BATCH001
2024-01-01 08:30:00,DEV001,90.1,2.9,1260,50.2,7.5,BATCH001
2024-01-01 09:00:00,DEV002,82.5,2.1,1180,44.2,7.0,BATCH002
2024-01-01 09:05:00,DEV002,83.2,2.2,1190,45.0,7.1,BATCH002
2024-01-01 09:10:00,DEV002,84.1,,1200,45.8,7.2,BATCH002
2024-01-01 09:15:00,DEV002,85.0,2.4,1210,46.5,7.3,BATCH002
2024-01-01 09:20:00,DEV002,85.8,2.5,1220,47.2,7.4,BATCH002
2024-01-01 09:25:00,DEV002,86.5,2.6,1230,48.0,7.5,BATCH002
2024-01-01 09:30:00,DEV002,87.2,2.7,1240,48.8,7.6,BATCH002
2024-01-01 10:00:00,DEV003,90.5,3.0,1300,52.0,7.8,BATCH003
2024-01-01 10:05:00,DEV003,91.2,3.1,1310,52.8,7.9,BATCH003
2024-01-01 10:10:00,DEV003,92.0,3.2,1320,53.5,8.0,BATCH003
2024-01-01 10:15:00,DEV003,92.8,3.3,1330,54.2,8.1,BATCH003
2024-01-01 10:20:00,DEV003,,3.4,1340,55.0,8.2,BATCH003
2024-01-01 10:25:00,DEV003,94.2,3.5,1350,55.8,8.3,BATCH003
2024-01-01 10:30:00,DEV003,95.0,3.6,1360,56.5,8.4,BATCH003
2024-01-01 11:00:00,DEV001,88.0,2.8,1250,49.0,7.5,BATCH004
2024-01-01 11:05:00,DEV001,88.8,2.9,1260,49.8,7.6,BATCH004
2024-01-01 11:10:00,DEV001,89.5,3.0,1270,50.5,7.7,BATCH004
2024-01-01 11:15:00,DEV001,90.2,3.1,1280,51.2,7.8,BATCH004
2024-01-01 11:20:00,DEV001,91.0,3.2,1290,52.0,7.9,BATCH004
2024-01-01 11:25:00,DEV001,91.8,3.3,1300,52.8,8.0,BATCH004
2024-01-01 11:30:00,DEV001,92.5,3.4,1310,53.5,8.1,BATCH004
2024-01-01 12:00:00,DEV002,85.5,2.5,1220,47.5,7.3,BATCH005
2024-01-01 12:05:00,DEV002,86.2,2.6,1230,48.2,7.4,BATCH005
2024-01-01 12:10:00,DEV002,87.0,2.7,1240,49.0,7.5,BATCH005
2024-01-01 12:15:00,DEV002,87.8,2.8,1250,49.8,7.6,BATCH005
2024-01-01 12:20:00,DEV002,88.5,2.9,1260,50.5,7.7,BATCH005
2024-01-01 12:25:00,DEV002,89.2,3.0,1270,51.2,7.8,BATCH005
2024-01-01 12:30:00,DEV002,90.0,3.1,1280,52.0,7.9,BATCH005 